created_at,rx_at,id,lat,lon,vbat,siv,ttf,rssi
2022-05-10 22:06:00,2022-05-17 15:46:48.607000,8,13.84665,100.56883,4.118,4,56.191,-61
2022-05-10 22:08:47,2022-05-17 15:46:49.116000,8,13.84656,100.56895,4.125,5,39.96,-59
2022-05-10 22:09:59,2022-05-17 15:46:49.618000,8,13.84626,100.56890,4.125,4,72.28,-60
2022-05-10 22:11:33,2022-05-17 15:46:50.126000,8,13.84651,100.56870,4.125,4,43.196,-59
2022-05-10 22:12:07,2022-05-17 15:46:50.627000,8,13.84655,100.56868,4.125,5,34.266,-60
2022-05-10 22:15:03,2022-05-17 15:46:51.132000,8,13.84650,100.56835,4.131,4,34.247,-60
2022-05-10 22:19:15,2022-05-17 15:46:51.634000,8,13.84633,100.56876,4.125,4,105.776,-60
2022-05-10 22:22:48,2022-05-17 15:46:52.144000,8,13.84646,100.56875,4.125,6,61.761,-60
2022-05-10 22:23:33,2022-05-17 15:46:52.648000,8,13.84648,100.56786,4.125,6,33.266,-61
2022-05-10 22:24:14,2022-05-17 15:46:53.148000,8,13.84651,100.56861,4.125,5,40.754,-61
2022-05-10 22:26:51,2022-05-17 15:46:53.654000,8,13.84636,100.56855,4.125,6,28.275,-60
2022-05-10 22:27:19,2022-05-17 15:46:54.157000,8,13.84696,100.56896,4.125,5,27.786,-61
2022-05-10 22:30:13,2022-05-17 15:46:54.661000,8,13.84653,100.56853,4.131,7,36.903,-59
2022-05-10 22:32:51,2022-05-17 15:46:55.165000,8,13.84638,100.56886,4.125,5,25.282,-61
2022-05-10 22:33:34,2022-05-17 15:46:55.671000,8,13.84541,100.56853,4.125,5,42.271,-61
2022-05-10 22:36:19,2022-05-17 15:46:56.173000,8,13.84650,100.56876,4.125,6,58.766,-61
2022-05-10 22:38:56,2022-05-17 15:46:56.678000,8,13.84675,100.56901,4.125,6,52.232,-61
2022-05-10 22:39:24,2022-05-17 15:46:57.178000,8,13.84640,100.56876,4.125,6,26.583,-60
2022-05-10 22:42:13,2022-05-17 15:46:57.680000,8,13.84628,100.56811,4.125,6,37.25,-60
2022-05-10 22:46:01,2022-05-17 15:46:58.183000,8,13.84653,100.56925,4.125,5,95.211,-60
2022-05-10 22:48:04,2022-05-17 15:46:58.683000,8,13.84350,100.56823,4.125,5,98.268,-60
2022-05-10 22:50:28,2022-05-17 15:46:59.188000,8,13.84681,100.56881,4.118,5,63.628,-60
2022-05-10 22:51:00,2022-05-17 15:46:59.688000,8,13.84706,100.56880,4.125,4,31.447,-60
2022-05-10 22:54:47,2022-05-17 15:47:00.195000,8,13.84721,100.56893,4.131,5,76.273,-60
2022-05-10 22:56:44,2022-05-17 15:47:00.696000,8,13.84628,100.56875,4.125,6,57.8,-59
2022-05-10 22:57:56,2022-05-17 15:47:01.202000,8,13.84630,100.56848,4.125,5,71.358,-61
2022-05-10 22:59:07,2022-05-17 15:48:01.874000,8,13.84563,100.56800,4.118,4,17.217,-60
2022-05-10 23:00:28,2022-05-17 15:48:02.374000,8,13.84655,100.56903,4.125,6,43.815,-60
2022-05-10 23:03:32,2022-05-17 15:48:02.882000,8,13.84616,100.56801,4.125,6,73.304,-60
2022-05-10 23:05:04,2022-05-17 15:48:03.384000,8,13.84635,100.56858,4.118,6,15.228,-60
2022-05-10 23:06:12,2022-05-17 15:48:03.890000,8,13.84613,100.56828,4.125,6,26.296,-60
2022-05-10 23:09:06,2022-05-17 15:48:04.390000,8,13.84703,100.56925,4.157,5,28.345,-61
2022-05-10 23:12:03,2022-05-17 15:48:04.891000,8,13.84641,100.56873,4.125,6,28.245,-60
2022-05-10 23:14:50,2022-05-17 15:48:05.396000,8,13.84688,100.56888,4.125,5,15.185,-59
2022-05-10 23:15:26,2022-05-17 15:48:05.898000,8,13.84670,100.56906,4.118,5,35.194,-60
2022-05-10 23:18:40,2022-05-17 15:48:06.407000,8,13.84688,100.56895,4.125,5,73.279,-60
2022-05-10 23:20:29,2022-05-17 15:48:06.909000,8,13.84655,100.56885,4.131,5,40.281,-60
2022-05-10 23:20:49,2022-05-17 15:48:07.418000,8,13.84745,100.56873,4.118,6,19.249,-59
2022-05-10 23:21:42,2022-05-17 15:48:07.917000,8,13.84770,100.56940,4.118,7,52.232,-61
2022-05-10 23:23:39,2022-05-17 15:48:08.421000,8,13.84646,100.56871,4.125,7,29.76,-60
2022-05-10 23:24:58,2022-05-17 15:48:08.923000,8,13.84640,100.56851,4.125,5,78.216,-61
2022-05-10 23:26:32,2022-05-17 15:48:09.423000,8,13.84655,100.56870,4.125,5,48.818,-61
2022-05-10 23:27:25,2022-05-17 15:48:09.931000,8,13.84668,100.56883,4.118,6,52.277,-61
2022-05-10 23:29:36,2022-05-17 15:48:10.433000,8,13.84631,100.56861,4.125,5,26.225,-60
2022-05-10 23:31:04,2022-05-17 15:48:10.940000,8,13.84655,100.56868,4.118,5,87.785,-61
2022-05-10 23:32:39,2022-05-17 15:48:11.441000,8,13.84661,100.56898,4.131,4,64.812,-61
2022-05-10 23:33:41,2022-05-17 15:48:11.946000,8,13.84676,100.56905,4.125,5,60.985,-61
2022-05-10 23:35:44,2022-05-17 15:48:12.454000,8,13.84603,100.56815,4.125,5,42.41,-60
2022-05-10 23:36:07,2022-05-17 15:48:12.956000,8,13.84611,100.56878,4.118,4,23.205,-61
2022-05-10 23:39:12,2022-05-17 15:48:13.465000,8,13.84615,100.56810,4.125,4,32.31,-61
2022-05-10 23:42:04,2022-05-17 15:48:13.966000,8,13.84621,100.56868,4.125,5,33.306,-60
2022-05-10 23:45:19,2022-05-17 15:48:14.472000,8,13.84640,100.56843,4.125,4,48.794,-61
2022-05-10 23:48:49,2022-05-17 15:48:14.976000,8,13.84651,100.56863,4.131,4,95.262,-60
2022-05-10 23:50:30,2022-05-17 15:48:15.483000,8,13.84655,100.56858,4.125,4,63.284,-61
2022-05-10 23:51:14,2022-05-17 15:48:15.987000,8,13.84646,100.56876,4.125,4,43.309,-60
2022-05-10 23:53:40,2022-05-17 15:48:16.494000,8,13.84673,100.56908,4.125,4,21.189,-61
2022-05-10 23:54:09,2022-05-17 15:48:16.997000,8,13.84655,100.56893,4.125,4,28.271,-60
2022-05-10 23:57:18,2022-05-17 15:48:17.506000,8,13.84635,100.56860,4.125,4,43.265,-60
2022-05-11 00:01:02,2022-05-17 15:48:18.015000,8,13.84676,100.56871,4.125,4,102.766,-60
2022-05-11 00:02:15,2022-05-17 15:48:18.518000,8,13.84690,100.56860,4.125,4,56.26,-59
2022-05-11 00:03:16,2022-05-17 15:48:19.025000,8,13.84636,100.56871,4.118,4,59.795,-60
2022-05-11 00:05:38,2022-05-17 15:48:19.526000,8,13.84548,100.56758,4.125,4,35.258,-61
2022-05-11 00:06:39,2022-05-17 15:48:20.036000,8,13.84608,100.56835,4.125,4,60.79,-61
2022-05-11 00:11:28,2022-05-17 15:48:20.540000,8,13.84648,100.56880,4.118,4,55.268,-61
2022-05-11 00:15:00,2022-05-17 15:48:21.050000,8,13.84658,100.56898,4.125,4,60.762,-61
2022-05-11 00:17:39,2022-05-17 15:48:21.605000,8,13.84711,100.56938,4.125,4,37.269,-59
2022-05-11 00:18:42,2022-05-17 15:48:22.107000,8,13.84650,100.56875,4.125,4,62.244,-60
